dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,10,0.8574182353576745
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,25,0.8601886282930347
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,50,0.859718979265201
1_ef_b.csv,"[15, 15, 15]",0.01,relu,sgd,10,0.4599696065428824
1_ef_b.csv,[15],0.001,relu,adam,10,0.5304849972454926
1_ef_b.csv,[15],0.001,relu,adam,25,0.7210603319544808
1_ef_b.csv,[15],0.001,relu,adam,50,0.8344636884937119
1_ef_b.csv,[15],0.001,relu,sgd,10,0.4383772129008438
1_ef_b.csv,[15],0.001,relu,sgd,25,0.4758327638344618
1_ef_b.csv,[15],0.001,relu,sgd,50,0.4934566918677142
1_ef_b.csv,[15],0.001,relu,rmsprop,10,0.8533398128964311
1_ef_b.csv,[15],0.001,relu,rmsprop,25,0.8634696988623427
1_ef_b.csv,[15],0.001,relu,rmsprop,50,0.862328052183036
1_ef_b.csv,[15],0.001,tanh,adam,10,0.7199620246367102
1_ef_b.csv,[15],0.001,tanh,adam,25,0.8104051511346345
1_ef_b.csv,[15],0.001,tanh,adam,50,0.8481679205626443
1_ef_b.csv,[15],0.001,tanh,sgd,10,0.3373105757674172
1_ef_b.csv,[15],0.001,tanh,sgd,25,0.5831934702846926
1_ef_b.csv,[15],0.001,tanh,sgd,50,0.5327171535025673
1_ef_b.csv,[15],0.001,tanh,rmsprop,10,0.8364196820827201
1_ef_b.csv,[15],0.001,tanh,rmsprop,25,0.8532302011696403
1_ef_b.csv,[15],0.001,tanh,rmsprop,50,0.8565033066431701
1_ef_b.csv,[15],0.01,relu,adam,10,0.8531596213429629
1_ef_b.csv,[15],0.01,relu,adam,25,0.8565033066431701
1_ef_b.csv,[15],0.01,relu,adam,50,0.8524897491412403
1_ef_b.csv,[15],0.01,relu,sgd,10,0.6795742727527567
1_ef_b.csv,[15],0.01,relu,sgd,25,0.5424027950847785
1_ef_b.csv,[15],0.01,relu,sgd,50,0.6511432525109643
1_ef_b.csv,[15],0.01,relu,rmsprop,10,0.8529036097264594
1_ef_b.csv,[15],0.01,relu,rmsprop,25,0.8467535646727813
1_ef_b.csv,[15],0.01,relu,rmsprop,50,0.8543738190567695
1_ef_b.csv,[15],0.01,tanh,adam,10,0.8565033066431701
1_ef_b.csv,[15],0.01,tanh,adam,25,0.8565033066431701
1_ef_b.csv,[15],0.01,tanh,adam,50,0.8525229741019216
1_ef_b.csv,[15],0.01,tanh,sgd,10,0.6054686146555355
1_ef_b.csv,[15],0.01,tanh,sgd,25,0.7975564231926904
1_ef_b.csv,[15],0.01,tanh,sgd,50,0.799039970838263
1_ef_b.csv,[15],0.01,tanh,rmsprop,10,0.8537600589088002
1_ef_b.csv,[15],0.01,tanh,rmsprop,25,0.8551316697540955
1_ef_b.csv,[15],0.01,tanh,rmsprop,50,0.8527485504128125
1_ef_b.csv,[15],0.1,relu,adam,10,0.8463880585736794
1_ef_b.csv,[15],0.1,relu,adam,25,0.8463766161581605
1_ef_b.csv,[15],0.1,relu,adam,50,0.856140594575075
1_ef_b.csv,[15],0.1,relu,sgd,10,0.7953495241151567
1_ef_b.csv,[15],0.1,relu,sgd,25,0.8352258470686035
1_ef_b.csv,[15],0.1,relu,sgd,50,0.8546137174453857
1_ef_b.csv,[15],0.1,relu,rmsprop,10,0.7776028819583993
1_ef_b.csv,[15],0.1,relu,rmsprop,25,0.8093240494636078
1_ef_b.csv,[15],0.1,relu,rmsprop,50,0.8318937293916363
1_ef_b.csv,[15],0.1,tanh,adam,10,0.8461552558511208
1_ef_b.csv,[15],0.1,tanh,adam,25,0.8625578626753295
1_ef_b.csv,[15],0.1,tanh,adam,50,0.8594122873204519
1_ef_b.csv,[15],0.1,tanh,sgd,10,0.8508104686011663
1_ef_b.csv,[15],0.1,tanh,sgd,25,0.8591120022953438
1_ef_b.csv,[15],0.1,tanh,sgd,50,0.8591120022953438
1_ef_b.csv,[15],0.1,tanh,rmsprop,10,0.8506640287185908
1_ef_b.csv,[15],0.1,tanh,rmsprop,25,0.8606866750769191
1_ef_b.csv,[15],0.1,tanh,rmsprop,50,0.8501518551102032
1_ef_b.csv,"[15, 15]",0.001,relu,adam,10,0.6143263048504088
1_ef_b.csv,"[15, 15]",0.001,relu,adam,25,0.7602991173124494
1_ef_b.csv,"[15, 15]",0.001,relu,adam,50,0.8322350560687145
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,10,0.3794801438398999
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,25,0.4490154976522535
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,50,0.4581169854504249
1_ef_b.csv,"[15, 15]",0.001,relu,rmsprop,10,0.8368556993399159
1_ef_b.csv,"[15, 15]",0.001,relu,rmsprop,25,0.8532838684326098
