dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,sgd,10,0.4153513726416952
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,sgd,25,0.4039753630872053
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,sgd,50,0.6847657841814188
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,rmsprop,10,0.8552210757920939
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,rmsprop,25,0.8663148457468781
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,rmsprop,50,0.8515128952889051
1_ef_b.csv,"[15, 15, 15]",0.1,relu,adam,10,0.8540277983053837
1_ef_b.csv,"[15, 15, 15]",0.1,relu,adam,25,0.8590301354304815
1_ef_b.csv,"[15, 15, 15]",0.1,relu,adam,50,0.8585382380844597
1_ef_b.csv,"[15, 15, 15]",0.1,relu,sgd,10,0.3548297535797536
1_ef_b.csv,"[15, 15, 15]",0.1,relu,sgd,25,0.5526746594887866
1_ef_b.csv,"[15, 15, 15]",0.1,relu,sgd,50,0.8453265875164073
1_ef_b.csv,"[15, 15, 15]",0.1,relu,rmsprop,10,0.535352564102564
1_ef_b.csv,"[15, 15, 15]",0.1,relu,rmsprop,25,0.46766025641025644
1_ef_b.csv,"[15, 15, 15]",0.1,relu,rmsprop,50,0.5312179487179487
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,adam,10,0.853812928857631
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,adam,25,0.8664789285617953
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,adam,50,0.8401295368708868
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,sgd,10,0.762595462682029
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,sgd,25,0.8457948281298133
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,sgd,50,0.8617833147227538
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,rmsprop,10,0.8613557275623249
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,rmsprop,25,0.8601897346316575
1_ef_b.csv,"[15, 15, 15]",0.1,tanh,rmsprop,50,0.825936779971911
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,adam,10,0.33639003768036024
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,adam,25,0.4703567412120043
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,adam,50,0.8286690032976367
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,sgd,10,0.33536858974358974
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,sgd,25,0.3163695563695564
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,sgd,50,0.33434294871794873
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,rmsprop,10,0.8432756494803064
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,rmsprop,25,0.8319630401463817
1_ef_b.csv,"[15, 15, 15, 15]",0.001,relu,rmsprop,50,0.8579365478028759
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,adam,10,0.4418984738643183
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,adam,25,0.8380208783287383
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,adam,50,0.8534980813325858
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,sgd,10,0.4101337660620789
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,sgd,25,0.34485425737784225
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,sgd,50,0.26315883190883194
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,rmsprop,10,0.8413439587570821
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,rmsprop,25,0.8561843013330428
1_ef_b.csv,"[15, 15, 15, 15]",0.001,tanh,rmsprop,50,0.850098731677679
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,adam,10,0.858552824630903
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,adam,25,0.8527341163510075
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,adam,50,0.8443379891258742
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,sgd,10,0.4009935897435898
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,sgd,25,0.46770988420181975
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,sgd,50,0.4666185897435898
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,rmsprop,10,0.8513593442620241
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,rmsprop,25,0.8622457029087409
1_ef_b.csv,"[15, 15, 15, 15]",0.01,relu,rmsprop,50,0.8597318969944814
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,adam,10,0.8537600589088002
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,adam,25,0.8573844098823168
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,adam,50,0.8579398933397735
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,sgd,10,0.4098783936651584
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,sgd,25,0.47496243210596967
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,sgd,50,0.32518939393939394
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,rmsprop,10,0.8492212664110863
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,rmsprop,25,0.8473627648606719
1_ef_b.csv,"[15, 15, 15, 15]",0.01,tanh,rmsprop,50,0.8585718842156668
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,adam,10,0.8371910961691551
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,adam,25,0.8498589998397443
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,adam,50,0.8663484383478648
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,sgd,10,0.19791666666666666
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,sgd,25,0.5472256017791732
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,sgd,50,0.7127148645778566
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,rmsprop,10,0.5332852564102565
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,rmsprop,25,0.5967597187758479
1_ef_b.csv,"[15, 15, 15, 15]",0.1,relu,rmsprop,50,0.4009935897435898
